ID de l'activité,Date de l'activité,Nom de l'activité,Type d'activité,Description de l'activité,Temps écoulé,Distance,Fréquence cardiaque max.,Effort relatif,Déplacement-transport,Note privée sur les activités,Matériel utilisé pour l'activité,Nom du fichier,Poids de l'athlète,Poids du vélo,Temps écoulé,Durée de déplacement,Distance,Vitesse max.,Vitesse moyenne,Dénivelé positif,Dénivelé négatif,Altitude min.,Altitude max.,Pente max.,Pente moyenne,Pente positive moyenne,Pente négative moyenne,Cadence max.,Cadence moyenne,Fréquence cardiaque max.,Fréquence cardiaque moyenne,Puissance max.,Puissance moyenne,Calories,Température max.,Température moyenne,Effort relatif,Effort total,Nombre de sorties course à pied,Temps de montée,Temps de descente,Autres temps,Effort ressenti,Type,Heure de début,Puissance moyenne pondérée,Nombre d'échantillons de puissance,Utiliser l'Effort ressenti,Effort relatif ressenti,Déplacement-transport,Poids total soulevé,À partir du téléchargement,Distance ajustée selon la pente,Heure d'observation de la météo,Conditions météo,Température selon les prévisions météo,Température ressentie,Point de rosée,Humidité,Pression atmosphérique,Vitesse du vent,Rafale de vent,Direction du vent,Intensité des précipitations,Heure de lever du soleil,Heure de coucher du soleil,Phase de la lune,Vélo,Matériel,Probabilité de précipitations,Type de précipitations,Couverture nuageuse,Visibilité selon les prévisions météo,Indice UV,Ozone selon les prévisions météo,Nombre de sauts,Grit total,Flow moyen,Signalé,Vitesse moyenne (temps écoulé),Distance sur chemin,Distance récemment découverte,Distance sur chemin récemment découverte,Nombre d'activités,Nombre total de pas,CO2 économisé,Longueur de piscine,Charge d’entraînement,Intensité,Vitesse moyenne ajustée selon la pente,Temps enregistré par le chronomètre,Nombre total de cycles,Récupération,Avec mon animal de compagnie,Compétition,Sortie longue,Pour la bonne cause,Avec enfant,Distance en descente,Nombre total de séries,Nombre total de répétitions,Support
19591367151,"3 août 2026, 23:31:35",Sortie longue avortée,Course à pied,Double problème gastrique pour les coureurs français ,5725,"14,41",171.0,48,false,,Salomon Aero Blaze 3,activities/20717247149.fit.gz,,,5725.0,4862.0,14411.1,5.28,2.964,61.7,27.4,13.2,59.0,11.8,0.2,,,102.0,79.0,171.0,143.0,,,1020.0,,,48.0,,,,,,,,,,,,,0.0,,1.0,14526.1,,,,,,,,,,,,,,,,32469099.0,,,,,,,,,,,2.517,2681.2,,,,12612.0,0.0,,,,2.988,,,,,,,,,,,,""
19576909702,"2 août 2026, 23:29:22",Footing pluie,Course à pied,"",3503,"10,67",176.0,65,false,,Salomon Aero Blaze 3,activities/20702227254.fit.gz,,,3503.0,3354.0,10671.1,4.66,3.182,60.6,61.1,25.6,68.8,9.8,0.0,,,83.0,79.0,176.0,154.0,,,754.0,,,65.0,,,,,,,,,,,,,0.0,,1.0,10769.7,,,,,,,,,,,,,,,,32469099.0,,,,,,,,,,,3.046,322.9,,,,8594.0,0.0,,,,3.211,,,,,,,,,,,,""
19546904266,"31 juil. 2026, 16:44:21",Télétravail,Course à pied,"",10012,"25,92",189.0,140,false,,Salomon Aero Blaze 3,activities/20671101479.fit.gz,,,10012.0,8943.0,25928.7,5.42,2.899,436.5,436.9,37.7,233.8,31.3,0.0,,,102.0,80.0,189.0,152.0,,,1829.0,,,140.0,,,,,,,,,,,,,0.0,,1.0,27674.1,,,,,,,,,,,,,,,,32469099.0,,,,,,,,,,,2.59,6820.8,,,,23380.0,0.0,,,,3.032,,,,,,,,,,,,""
19535204314,"30 juil. 2026, 21:17:22",Sortie speed,Course à pied,En retard pour le ciné 😵‍💫,3785,"12,68",178.0,107,false,,Salomon Aero Blaze 3,activities/20659011018.fit.gz,,,3785.0,3705.0,12687.7,7.52,3.424,64.5,65.2,35.3,70.0,6.9,0.0,,,86.0,81.0,178.0,163.0,,,892.0,,,107.0,,,,,,,,,,,,,0.0,,1.0,12741.5,,,,,,,,,,,,,,,,32469099.0,,,,,,,,,,,3.352,3788.6,,,,9980.0,0.0,,,,3.439,,,,,,,,,,,,""
19522094676,"29 juil. 2026, 22:40:42",4*4 norvégien avec le mans,Course à pied,"",3270,"10,82",187.0,84,false,,Salomon Aero Blaze 3,activities/20645501515.fit.gz,,,3270.0,3229.0,10819.2,4.96,3.351,41.1,43.4,43.2,63.8,9.3,0.0,,,108.0,80.0,187.0,161.0,,0.0,768.0,,,84.0,,,,,,,,,3.0,3269.0,0.0,,0.0,,1.0,10857.8,,,,,,,,,,,,,,,,32469099.0,,,,,,,,,,,3.309,0.0,,,,8544.0,0.0,,0.0,2.0,3.363,,,,,,,,,,,,""
19476237261,"26 juil. 2026, 16:21:48",Avec ce bon vieux daniel,Course à pied,"",3410,"9,59",,,false,,Salomon Aero Blaze 3,activities/19476237261.fit,,,3410.0,3311.0,9590.7,3.52,2.897,31.0,25.0,44.6,67.4,7.5,0.1,,,,,,,,,892.0,,31.0,,,,,,,,,,,,0.0,,0.0,,1.0,9675.8,,,,,,,,,,,,,,,,32469099.0,,,,,,,,,,,2.813,1163.3,,,,,0.0,,,,2.922,,,,,,,,,,,,""
19439714561,"23 juil. 2026, 23:59:29",3*2000 dans le bueno,Course à pied,Dur mais il fait beau donc cv,4412,"11,67",196.0,68,false,,Salomon Aero Blaze 3,activities/20560769737.fit.gz,,,4412.0,3667.0,11673.0,5.36,3.183,20.1,21.7,51.0,68.9,7.8,0.0,,,98.0,80.0,196.0,155.0,,,836.0,,,68.0,,,,,,,,,,,,,0.0,,1.0,11732.3,,,,,,,,,,,,,,,,32469099.0,,,,,,,,,,,2.646,0.0,,,,9398.0,0.0,,,,3.199,,,,,,,,,,,,""
19432419663,"22 juil. 2026, 23:18:17",Footing,Course à pied,La montre qui s'arrête encore 😪,2304,"5,89",160.0,19,false,,Salomon Aero Blaze 3,activities/20553323118.fit.gz,,,2304.0,1887.0,5897.4,4.02,3.125,14.7,20.3,43.2,63.9,14.0,-0.1,,,87.0,80.0,160.0,143.0,,,400.0,,,19.0,,,,,,,,,,,0.0,,0.0,,1.0,5911.6,,,,,,,,,,,,,,,,32469099.0,,,,,,,,,,,2.56,0.0,,,,5024.0,0.0,,,,3.133,,,,,,,,,,,,""
19396556173,"20 juil. 2026, 23:54:27",2*7*1'/1',Course à pied,On fait sauter le caisson,3809,"10,94",199.0,86,false,,Salomon Aero Blaze 3,activities/20516725679.fit.gz,,,3809.0,3533.0,10946.4,6.56,3.098,20.2,18.3,47.9,68.5,8.3,0.0,,,107.0,79.0,199.0,160.0,,,761.0,,,86.0,,,,,,,,,,,0.0,,0.0,,1.0,11004.3,,,,,,,,,,,,,,,,32469099.0,,,,,,,,,,,2.874,0.0,,,,8804.0,0.0,,,,3.115,,,,,,,,,,,,""
19381443137,"19 juil. 2026, 16:29:39",Footing mont royal ☀️,Course à pied,"",5320,"13,37",194.0,113,false,"",Scott Kinabalu ULTRA Rc,activities/20501320555.fit.gz,,,5320.0,4789.0,13373.4,5.82,2.793,233.8,237.6,49.9,231.3,50.0,0.0,,,93.0,79.0,194.0,158.0,,,1029.0,,,113.0,,,,,,,,,,,,,0.0,,1.0,14430.4,,,,,,,,,,,,,,,,20957754.0,,,,,,,,,,,2.514,5826.2,,,,12064.0,0.0,,,,3.013,,,,,,,,,,,,""
19369933109,"18 juil. 2026, 23:41:58",Footing 🌧,Course à pied,6-4 ptn c'est un score de tennis,3453,"10,17",177.0,53,false,,Salomon Aero Blaze 3,activities/20489551962.fit.gz,,,3453.0,3317.0,10169.0,5.0,3.066,31.1,30.5,42.2,67.8,6.5,0.0,,,86.0,80.0,177.0,151.0,,,719.0,,,53.0,,,,,,,,,,,,,0.0,,1.0,10206.8,,,,,,,,,,,,,,,,32469099.0,,,,,,,,,,,2.945,0.0,,,,8806.0,0.0,,,,3.077,,,,,,,,,,,,""
19356428352,"17 juil. 2026, 23:36:10",Pyra 1000-1500-2000,Course à pied,Les nouvelles grolles qui courent vraiment vite 🤯,3362,"11,31",193.0,99,false,,Salomon Aero Blaze 3,activities/20475781891.fit.gz,,,3362.0,3339.0,11315.5,5.32,3.389,0.0,0.0,66.2,68.4,5.8,0.0,,,96.0,82.0,193.0,163.0,,,812.0,,,99.0,,,,,,,,,,,0.0,,0.0,,1.0,11360.9,,,,,,,,,,,,,,,,32469099.0,,,,,,,,,,,3.366,0.0,,,,9032.0,0.0,,,,3.402,,,,,,,,,,,,""
19343302321,"16 juil. 2026, 22:19:30",Easy run au parc,Course à pied,"",4201,"11,53",171.0,68,false,,Salomon Aero Blaze 3,activities/20462442189.fit.gz,,,4201.0,3775.0,11532.9,4.54,3.055,20.4,19.9,43.2,54.7,7.9,0.0,,,83.0,80.0,171.0,152.0,,,823.0,,,68.0,,,,,,,,,,,0.0,,0.0,,1.0,11559.7,,,,,,,,,,,,,,,,32469099.0,,,,,,,,,,,2.745,0.0,,,,9838.0,0.0,,,,3.062,,,,,,,,,,,,""
19302240592,"13 juil. 2026, 23:34:59",2*10*30/30,Course à pied,Il me faut des nouvelles grolles,3538,"10,31",198.0,60,false,,Salomon DRX Bliss,activities/20420731065.fit.gz,,,3538.0,3455.0,10313.6,6.48,2.985,23.5,23.9,43.2,63.9,8.5,0.0,,,94.0,78.0,198.0,153.0,,,716.0,,,60.0,,,,,,,,,,,0.0,,0.0,,1.0,10343.1,,,,,,,,,,,,,,,,22066982.0,,,,,,,,,,,2.915,0.0,,,,8444.0,0.0,,,,2.994,,,,,,,,,,,,""
19274853444,"11 juil. 2026, 20:28:02",Footing du samedi ☀️,Course à pied,"",2044,"6,42",172.0,45,false,,Salomon DRX Bliss,activities/20392869918.fit.gz,,,2044.0,2044.0,6427.8,4.04,3.145,29.3,26.7,44.1,63.8,10.6,0.1,,,82.0,79.0,172.0,156.0,,,469.0,,,45.0,,,,,,,,,,,,,0.0,,1.0,6467.4,,,,,,,,,,,,,,,,22066982.0,,,,,,,,,,,3.145,16.9,,,,5374.0,0.0,,,,3.164,,,,,,,,,,,,""
19259882696,"10 juil. 2026, 17:11:49",Entre tdf et cdm,Course à pied,"",6879,"17,29",199.0,147,false,,Salomon DRX Bliss,activities/20377638529.fit.gz,,,6879.0,5624.0,17294.2,5.78,3.075,64.8,64.8,38.8,70.4,13.8,0.0,,,87.0,78.0,199.0,161.0,,,1281.0,,,147.0,,,,,,,,,,,0.0,,0.0,,1.0,17366.3,,,,,,,,,,,,,,,,22066982.0,,,,,,,,,,,2.514,5453.6,,,,14246.0,0.0,,,,3.088,,,,,,,,,,,,""
19222682212,"7 juil. 2026, 23:56:27",Footing long,Course à pied,On laisse rouler les jambes sous le coucher de soleil je vous fais pas de dessin,5476,"15,62",193.0,112,false,,Salomon DRX Bliss,activities/20339817040.fit.gz,,,5476.0,5364.0,15621.5,7.14,2.912,304.4,304.3,47.6,231.3,50.0,0.0,,,92.0,77.0,193.0,156.0,,,1168.0,,,112.0,,,,,,,,,,,0.0,,0.0,,1.0,16730.6,,,,,,,,,,,,,,,,22066982.0,,,,,,,,,,,2.853,7012.1,,,,13506.0,0.0,,,,3.119,,,,,,,,,,,,""
19209006893,"6 juil. 2026, 23:46:05",Décrassage du lundi avec manu,Course à pied,2*8*1'/1' sous coucher de soleil,4573,"12,01",195.0,81,false,,Salomon DRX Bliss,activities/20325970070.fit.gz,,,4573.0,4164.0,12017.2,5.8,2.886,18.0,17.7,43.1,54.6,10.0,0.0,,,92.0,79.0,195.0,155.0,,,883.0,,,81.0,,,,,,,,,,,,,0.0,,1.0,12041.4,,,,,,,,,,,,,,,,22066982.0,,,,,,,,,,,2.628,93.7,,,,10422.0,0.0,,,,2.892,,,,1.0,,,,,,,,""
